Year,ICD10 Code,ICD10 Diagnosis,Diagnosis Type,Metric,Sex,Value
2009,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Male,2778.0
2009,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Male,1300.0
2009,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,Male,700.0
2009,C16,Stomach,Cancers which can be caused by smoking,Attributable number,Male,700.0
2009,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,Male,800.0
2009,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,Male,2100.0
2009,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,Male,300.0
2009,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,Male,700.0
2009,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,Male,8600.0
2009,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,Male,2500.0
2009,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,1800.0
2009,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,6300.0
2009,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,200.0
2009,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,1900.0
2009,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,Male,2500.0
2009,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,Male,0.0
2009,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Attributable number,Male,700.0
2009,All codes,All deaths,All deaths,Number of observed deaths,Female,232875.0
2009,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All deaths which can be caused by smoking,All deaths which can be caused by smoking,Number of observed deaths,Female,126326.0
2009,C00-D48,All cancers,All cancers,Number of observed deaths,Female,61692.0
2009,J00-J99,All respiratory diseases,All respiratory diseases,Number of observed deaths,Female,33276.0
2009,I00-I99,All circulatory diseases,All circulatory diseases,Number of observed deaths,Female,76355.0
2009,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of observed deaths,Female,12209.0
2009,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of observed deaths,Female,12105.0
2009,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of observed deaths,Female,625.0
2009,C32,Larynx,Cancers which can be caused by smoking,Number of observed deaths,Female,107.0
2009,C15,Oesophagus,Cancers which can be caused by smoking,Number of observed deaths,Female,2015.0
2009,C53,Cervical,Cancers which can be caused by smoking,Number of observed deaths,Female,729.0
2009,C67,Bladder,Cancers which can be caused by smoking,Number of observed deaths,Female,1365.0
2009,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of observed deaths,Female,1208.0
2009,C16,Stomach,Cancers which can be caused by smoking,Number of observed deaths,Female,1467.0
2009,C25,Pancreas,Cancers which can be caused by smoking,Number of observed deaths,Female,3433.0
2009,C80,Unspecified Site,Cancers which can be caused by smoking,Number of observed deaths,Female,4518.0
2009,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of observed deaths,Female,992.0
2009,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of observed deaths,Female,429.0
2009,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of observed deaths,Female,9819.0
2009,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of observed deaths,Female,14618.0
2009,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,13807.0
2009,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,28540.0
2009,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,1494.0
2009,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,24816.0
2009,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,2702.0
2009,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,252.0
2009,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of observed deaths,Female,1285.0
2009,All codes,All deaths,All deaths,Attributable number,Female,32600.0
2009,C00-D48,All cancers,All cancers,Attributable number,Female,13600.0
2009,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Female,10300.0
2009,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Female,8100.0
2009,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,Female,600.0
2009,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,Female,9100.0
2009,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,Female,300.0
2009,C32,Larynx,Cancers which can be caused by smoking,Attributable number,Female,100.0
2009,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,Female,1300.0
2009,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Female,100.0
2009,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Female,400.0
2009,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,Female,100.0
2009,C16,Stomach,Cancers which can be caused by smoking,Attributable number,Female,200.0
2009,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,Female,900.0
2009,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,Female,1000.0
2009,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,Female,100.0
2009,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,Female,400.0
2009,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,Female,7700.0
2009,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,Female,2300.0
2009,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,1500.0
2009,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,3200.0
2009,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,300.0
2009,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,1400.0
2009,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,Female,1600.0
2009,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,Female,0.0
2009,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Attributable number,Female,600.0
2008,All codes,All deaths,All deaths,Number of observed deaths,Unknown,464315.0
2008,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All deaths which can be caused by smoking,All deaths which can be caused by smoking,Number of observed deaths,Unknown,267551.0
2008,C00-D48,All cancers,All cancers,Number of observed deaths,Unknown,130785.0
2008,J00-J99,All respiratory diseases,All respiratory diseases,Number of observed deaths,Unknown,66875.0
2008,I00-I99,All circulatory diseases,All circulatory diseases,Number of observed deaths,Unknown,156100.0
2008,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of observed deaths,Unknown,23820.0
2008,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of observed deaths,Unknown,28207.0
2008,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of observed deaths,Unknown,1663.0
2008,C32,Larynx,Cancers which can be caused by smoking,Number of observed deaths,Unknown,674.0
2008,C15,Oesophagus,Cancers which can be caused by smoking,Number of observed deaths,Unknown,6114.0
2008,C53,Cervical,Cancers which can be caused by smoking,Number of observed deaths,Unknown,709.0
2008,C67,Bladder,Cancers which can be caused by smoking,Number of observed deaths,Unknown,4182.0
2008,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of observed deaths,Unknown,3098.0
2008,C16,Stomach,Cancers which can be caused by smoking,Number of observed deaths,Unknown,4204.0
2008,C25,Pancreas,Cancers which can be caused by smoking,Number of observed deaths,Unknown,6499.0
2008,C80,Unspecified Site,Cancers which can be caused by smoking,Number of observed deaths,Unknown,8853.0
2008,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of observed deaths,Unknown,2135.0
2008,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of observed deaths,Unknown,1303.0
2008,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of observed deaths,Unknown,21886.0
2008,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of observed deaths,Unknown,26977.0
2008,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Unknown,23661.0
2008,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Unknown,71406.0
2008,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Unknown,2629.0
2008,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Unknown,43223.0
2008,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of observed deaths,Unknown,6871.0
2008,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of observed deaths,Unknown,537.0
2008,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of observed deaths,Unknown,2720.0
2008,All codes,All deaths,All deaths,Attributable number,Unknown,84200.0
2008,C00-D48,All cancers,All cancers,Attributable number,Unknown,37700.0
2008,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Unknown,23500.0
2008,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Unknown,21800.0
2008,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,Unknown,1400.0
2008,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,Unknown,23200.0
2008,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,Unknown,1100.0
2008,C32,Larynx,Cancers which can be caused by smoking,Attributable number,Unknown,500.0
2008,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,Unknown,4100.0
2008,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Unknown,100.0
2008,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Unknown,1700.0
2008,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,Unknown,800.0
2008,C16,Stomach,Cancers which can be caused by smoking,Attributable number,Unknown,900.0
2008,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,Unknown,1600.0
2008,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,Unknown,3300.0
2008,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,Unknown,400.0
2008,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,Unknown,1100.0
2008,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,Unknown,17300.0
2008,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,Unknown,5000.0
2008,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Unknown,3300.0
2008,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Unknown,10200.0
2008,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,Unknown,500.0
2008,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,Unknown,3500.0
2008,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,Unknown,4200.0
2008,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,Unknown,100.0
2008,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Attributable number,Unknown,1400.0
2008,All codes,All deaths,All deaths,Number of observed deaths,Male,219448.0
2008,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All deaths which can be caused by smoking,All deaths which can be caused by smoking,Number of observed deaths,Male,133385.0
2008,C00-D48,All cancers,All cancers,Number of observed deaths,Male,68227.0
2008,J00-J99,All respiratory diseases,All respiratory diseases,Number of observed deaths,Male,30516.0
2008,I00-I99,All circulatory diseases,All circulatory diseases,Number of observed deaths,Male,74836.0
2008,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of observed deaths,Male,11228.0
2008,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of observed deaths,Male,16009.0
2008,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of observed deaths,Male,1042.0
2008,C32,Larynx,Cancers which can be caused by smoking,Number of observed deaths,Male,541.0
2008,C15,Oesophagus,Cancers which can be caused by smoking,Number of observed deaths,Male,4073.0
2008,C53,Cervical,Cancers which can be caused by smoking,Number of observed deaths,Male,2778.0
2008,C67,Bladder,Cancers which can be caused by smoking,Number of observed deaths,Male,2748.0
2008,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of observed deaths,Male,1870.0
2008,C16,Stomach,Cancers which can be caused by smoking,Number of observed deaths,Male,2627.0
2008,C25,Pancreas,Cancers which can be caused by smoking,Number of observed deaths,Male,3168.0
2008,C80,Unspecified Site,Cancers which can be caused by smoking,Number of observed deaths,Male,4097.0
2008,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of observed deaths,Male,1176.0
2008,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of observed deaths,Male,810.0
2008,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of observed deaths,Male,11395.0
2008,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of observed deaths,Male,10719.0
2008,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Male,9580.0
2008,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Male,40231.0
2008,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Male,1107.0
2008,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Male,16589.0
2008,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of observed deaths,Male,4093.0
2008,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of observed deaths,Male,189.0
2008,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of observed deaths,Male,1321.0
2008,All codes,All deaths,All deaths,Attributable number,Male,50400.0
2008,C00-D48,All cancers,All cancers,Attributable number,Male,24000.0
2008,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Male,12400.0
2008,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Male,13300.0
2008,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,Male,700.0
2008,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,Male,14000.0
2008,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,Male,800.0
2008,C32,Larynx,Cancers which can be caused by smoking,Attributable number,Male,400.0
2008,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,Male,2900.0
2008,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Male,2778.0
2008,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Male,1300.0
2008,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,Male,700.0
2008,C16,Stomach,Cancers which can be caused by smoking,Attributable number,Male,700.0
2008,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,Male,700.0
2008,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,Male,2200.0
2008,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,Male,300.0
2008,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,Male,700.0
2008,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,Male,9100.0
2008,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,Male,2600.0
2008,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,1800.0
2008,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,6600.0
2008,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,200.0
2008,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,2000.0
2008,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,Male,2600.0
2008,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,Male,100.0
2008,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Attributable number,Male,700.0
2008,All codes,All deaths,All deaths,Number of observed deaths,Female,244867.0
2008,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All deaths which can be caused by smoking,All deaths which can be caused by smoking,Number of observed deaths,Female,134166.0
2008,C00-D48,All cancers,All cancers,Number of observed deaths,Female,62558.0
2008,J00-J99,All respiratory diseases,All respiratory diseases,Number of observed deaths,Female,36359.0
2008,I00-I99,All circulatory diseases,All circulatory diseases,Number of observed deaths,Female,81264.0
2008,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of observed deaths,Female,12592.0
2008,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of observed deaths,Female,12198.0
2008,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of observed deaths,Female,621.0
2008,C32,Larynx,Cancers which can be caused by smoking,Number of observed deaths,Female,133.0
2008,C15,Oesophagus,Cancers which can be caused by smoking,Number of observed deaths,Female,2041.0
2008,C53,Cervical,Cancers which can be caused by smoking,Number of observed deaths,Female,709.0
2008,C67,Bladder,Cancers which can be caused by smoking,Number of observed deaths,Female,1434.0
2008,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of observed deaths,Female,1228.0
2008,C16,Stomach,Cancers which can be caused by smoking,Number of observed deaths,Female,1577.0
2008,C25,Pancreas,Cancers which can be caused by smoking,Number of observed deaths,Female,3331.0
2008,C80,Unspecified Site,Cancers which can be caused by smoking,Number of observed deaths,Female,4756.0
2008,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of observed deaths,Female,959.0
2008,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of observed deaths,Female,493.0
2008,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of observed deaths,Female,10491.0
2008,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of observed deaths,Female,16258.0
2008,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,14081.0
2008,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,31175.0
2008,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,1522.0
2008,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,26634.0
2008,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,2778.0
2008,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,348.0
2008,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of observed deaths,Female,1399.0
2008,All codes,All deaths,All deaths,Attributable number,Female,33900.0
2008,C00-D48,All cancers,All cancers,Attributable number,Female,13700.0
2008,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Female,11000.0
2008,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Female,8500.0
2008,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,Female,700.0
2008,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,Female,9100.0
2008,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,Female,300.0
2008,C32,Larynx,Cancers which can be caused by smoking,Attributable number,Female,100.0
2008,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,Female,1300.0
2008,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Female,100.0
2008,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Female,400.0
2008,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,Female,100.0
2008,C16,Stomach,Cancers which can be caused by smoking,Attributable number,Female,200.0
2008,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,Female,900.0
2008,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,Female,1100.0
2008,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,Female,100.0
2008,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,Female,400.0
2008,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,Female,8200.0
2008,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,Female,2400.0
2008,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,1500.0
2008,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,3500.0
2008,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,300.0
2008,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,1500.0
2008,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,Female,1600.0
2008,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,Female,0.0
2008,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Attributable number,Female,700.0
2007,All codes,All deaths,All deaths,Number of observed deaths,Unknown,459291.0
2007,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All deaths which can be caused by smoking,All deaths which can be caused by smoking,Number of observed deaths,Unknown,267180.0
2007,C00-D48,All cancers,All cancers,Number of observed deaths,Unknown,129564.0
2007,J00-J99,All respiratory diseases,All respiratory diseases,Number of observed deaths,Unknown,64255.0
2007,I00-I99,All circulatory diseases,All circulatory diseases,Number of observed deaths,Unknown,157925.0
2007,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of observed deaths,Unknown,23703.0
2007,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of observed deaths,Unknown,27656.0
2007,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of observed deaths,Unknown,1652.0
2007,C32,Larynx,Cancers which can be caused by smoking,Number of observed deaths,Unknown,597.0
2007,C15,Oesophagus,Cancers which can be caused by smoking,Number of observed deaths,Unknown,5946.0
2007,C53,Cervical,Cancers which can be caused by smoking,Number of observed deaths,Unknown,701.0
2007,C67,Bladder,Cancers which can be caused by smoking,Number of observed deaths,Unknown,4123.0
2007,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of observed deaths,Unknown,3017.0
2007,C16,Stomach,Cancers which can be caused by smoking,Number of observed deaths,Unknown,4233.0
2007,C25,Pancreas,Cancers which can be caused by smoking,Number of observed deaths,Unknown,6381.0
2007,C80,Unspecified Site,Cancers which can be caused by smoking,Number of observed deaths,Unknown,9378.0
2007,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of observed deaths,Unknown,2091.0
2007,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of observed deaths,Unknown,1287.0
2007,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of observed deaths,Unknown,20881.0
2007,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of observed deaths,Unknown,26244.0
2007,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Unknown,22503.0
2007,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Unknown,74066.0
2007,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Unknown,2612.0
2007,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Unknown,43382.0
2007,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of observed deaths,Unknown,7213.0
2007,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of observed deaths,Unknown,553.0
2007,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of observed deaths,Unknown,2664.0
2007,All codes,All deaths,All deaths,Attributable number,Unknown,82400.0
2007,C00-D48,All cancers,All cancers,Attributable number,Unknown,37000.0
2007,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Unknown,22200.0
2007,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Unknown,21800.0
2007,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,Unknown,1300.0
2007,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,Unknown,22700.0
2007,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,Unknown,1100.0
2007,C32,Larynx,Cancers which can be caused by smoking,Attributable number,Unknown,500.0
2007,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,Unknown,4000.0
2007,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Unknown,100.0
2007,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Unknown,1700.0
2007,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,Unknown,700.0
2007,C16,Stomach,Cancers which can be caused by smoking,Attributable number,Unknown,900.0
2007,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,Unknown,1600.0
2007,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,Unknown,3400.0
2007,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,Unknown,400.0
2007,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,Unknown,1100.0
2007,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,Unknown,16500.0
